from_modelname,to_modelname,using,travel_label,from_option,to_option,color code,legend,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-ESCN:Full-SN:N20,RG21-ESCN:Full-SN:rapid,supernova,rapid SN,N20,rapid,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-ESCN:Full-SN:rapid,RG21-ECSN:Full-SN:delayed,supernova,delayed SN,rapid,delayed,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-ECSN:Full-SN:delayed,RG21-ESCN:Full-SN:N20,supernova,N20 SN,delayed,N20,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:N20,RG21-ESCN:Full-SN:N20,sigma,ECSN Full Kick,20.00,265.00,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:rapid,RG21-ESCN:Full-SN:rapid,sigma,ECSN Full Kick,20.00,265.00,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:delayed,RG21-ECSN:Full-SN:delayed,sigma,ECSN Full Kick,20.00,265.00,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-noBHkick-SN:N20,RG21-noBHkick-SN:rapid,supernova,rapid SN,N20,rapid,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-noBHkick-SN:rapid,RG21-noBH-kick-SN:delayed,supernova,delayed SN,rapid,delayed,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-noBH-kick-SN:delayed,RG21-noBHkick-SN:N20,supernova,N20 SN,delayed,N20,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:N20,RG21-noBHkick-SN:N20,sigma,no BH kick,265.00,0.00,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:rapid,RG21-noBHkick-SN:rapid,sigma,no BH kick,265.00,0.00,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG21-SN:delayed,RG21-noBH-kick-SN:delayed,sigma,no BH kick,265.00,0.00,3,Roman-Garza (2022),POSYDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olejak21-M380 (fiducial),Olejak21-M480 (changedCEcriteria),stability,CE criteria changed,default,CE criteria changed,7,Olejak (2021) ,StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olejak21-M480 (changedCEcriteria),Olejak21-M481 (changedCEcriteria+switch),stability,switch added,default,switch added,7,Olejak (2021) ,StarTrack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaoLi_rapid,ShaoLi_delayed,supernova,delayed SN,rapid,delayed,20,Shao and Li (2021),BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaoLi_rapid,ShaoLi_stochastic ,supernova,MM SN,rapid,MM SN,20,Shao and Li (2021),BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaoLi_delayed,ShaoLi_stochastic ,supernova,MM SN,delayed,MM SN,20,Shao and Li (2021),BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
